shot,n,n_total_files,n_failed_load,n_nan_or_invalid,n_tae_like,n_mixed,n_eae_like,n_sent_to_classifiers,n_gold_good,n_silver_good,n_good_before_clustering,n_final_good,n_final_bad,n_flagged,fraction_good,fraction_flagged,rf_cnn_agreement_fraction,mean_p_rf_good,mean_p_cnn_good,median_p_rf_good,median_p_cnn_good,mode_clusters_removed,fraction_tae_threshold,fraction_eae_threshold,signed_delta_eae_threshold,include_mixed_in_tae_like,gold_good_rf_threshold,gold_good_cnn_threshold,silver_good_rf_threshold,silver_good_cnn_threshold,cnn_rescue_rf_threshold,cnn_rescue_cnn_threshold,gold_bad_threshold,silver_bad_threshold,rf_only_good_threshold,rf_score_weight,cnn_score_weight
nstxuG142301Y93,1,38,0,0,4,4,30,8,0,0,0,0,8,0,0.0,0.0,1.0,0.002916666666666667,0.0,0.0,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG142301Y93,2,78,0,0,13,7,58,20,0,0,0,0,20,0,0.0,0.0,1.0,0.0023333333333333335,0.0,0.0,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG142301Y93,3,65,0,0,7,1,57,8,0,0,0,0,8,0,0.0,0.0,1.0,0.008749999999999999,1.9140229962129657e-23,0.0,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG142301Y93,4,45,0,0,9,0,36,9,0,0,0,0,9,0,0.0,0.0,1.0,0.006296296296296296,1.0904668018774355e-19,0.0,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG142301Y93,5,72,0,0,22,0,50,22,0,0,0,0,22,0,0.0,0.0,1.0,0.021666666666666664,5.781148299935732e-08,0.01,1.656886532182527e-24,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG142301Y93,6,6,0,0,5,0,1,5,0,0,0,0,5,0,0.0,0.0,1.0,0.013333333333333332,2.0654625344230623e-32,0.01,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG142301Y93,7,59,0,0,4,1,54,5,0,0,0,0,5,0,0.0,0.0,1.0,0.05066666666666667,1.5690798966660407e-18,0.023333333333333334,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG142301Y93,8,97,0,0,5,0,92,5,0,0,0,0,5,0,0.0,0.0,1.0,0.10266666666666666,1.1806645126674324e-11,0.08333333333333333,1.4927525706873092e-18,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG142301Y93,9,122,0,0,19,0,103,19,0,0,1,1,18,3,0.05263157894736842,0.15789473684210525,0.8421052631578947,0.11122807017543862,0.14548098460213724,0.08,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG142301Y93,10,69,0,0,5,0,64,5,0,0,1,1,4,2,0.2,0.4,0.6,0.19266666666666668,0.39973676953377435,0.18333333333333332,2.3283246264327317e-05,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
