shot,nstxuG121123Q62
n_total_files,1186
n_failed_load,0
n_nan_or_invalid,0
n_tae_like,217
n_mixed,24
n_eae_like,945
n_sent_to_classifiers,241
n_gold_good,0
n_silver_good,3
n_good_before_clustering,7
n_final_good,6
n_final_bad,234
n_flagged,35
fraction_good,0.024896265560165973
fraction_flagged,0.14522821576763487
rf_cnn_agreement_fraction,0.8796680497925311
mean_p_rf_good,0.09295988934993085
mean_p_cnn_good,0.12221896564017294
median_p_rf_good,0.03
median_p_cnn_good,0.0
mode_clusters_removed,1
fraction_tae_threshold,0.5
fraction_eae_threshold,0.4
signed_delta_eae_threshold,-0.1
include_mixed_in_tae_like,True
gold_good_rf_threshold,0.7
gold_good_cnn_threshold,0.6
silver_good_rf_threshold,0.5
silver_good_cnn_threshold,0.5
cnn_rescue_rf_threshold,0.4
cnn_rescue_cnn_threshold,0.9
gold_bad_threshold,0.2
silver_bad_threshold,0.4
rf_only_good_threshold,0.5
rf_score_weight,0.5
cnn_score_weight,0.5
