shot,nstx_135388
n_total_files,1169
n_failed_load,0
n_nan_or_invalid,0
n_tae_like,330
n_mixed,14
n_eae_like,825
n_sent_to_classifiers,344
n_gold_good,107
n_silver_good,13
n_good_before_clustering,141
n_final_good,136
n_final_bad,203
n_flagged,49
fraction_good,0.3953488372093023
fraction_flagged,0.14244186046511628
rf_cnn_agreement_fraction,0.9011627906976745
mean_p_rf_good,0.4034786821705426
mean_p_cnn_good,0.4056517504639839
median_p_rf_good,0.21666666666666667
median_p_cnn_good,3.965585034628693e-13
mode_clusters_removed,5
fraction_tae_threshold,0.5
fraction_eae_threshold,0.4
signed_delta_eae_threshold,-0.1
include_mixed_in_tae_like,True
gold_good_rf_threshold,0.7
gold_good_cnn_threshold,0.6
silver_good_rf_threshold,0.5
silver_good_cnn_threshold,0.5
cnn_rescue_rf_threshold,0.4
cnn_rescue_cnn_threshold,0.9
gold_bad_threshold,0.2
silver_bad_threshold,0.4
rf_only_good_threshold,0.5
rf_score_weight,0.5
cnn_score_weight,0.5
