shot,n,n_total_files,n_failed_load,n_nan_or_invalid,n_tae_like,n_mixed,n_eae_like,n_sent_to_classifiers,n_gold_good,n_silver_good,n_good_before_clustering,n_final_good,n_final_bad,n_flagged,fraction_good,fraction_flagged,rf_cnn_agreement_fraction,mean_p_rf_good,mean_p_cnn_good,median_p_rf_good,median_p_cnn_good,mode_clusters_removed,fraction_tae_threshold,fraction_eae_threshold,signed_delta_eae_threshold,include_mixed_in_tae_like,gold_good_rf_threshold,gold_good_cnn_threshold,silver_good_rf_threshold,silver_good_cnn_threshold,cnn_rescue_rf_threshold,cnn_rescue_cnn_threshold,gold_bad_threshold,silver_bad_threshold,rf_only_good_threshold,rf_score_weight,cnn_score_weight
nstxu_204202,1,16,0,0,14,0,2,14,0,0,0,0,14,0,0.0,0.0,1.0,0.09333333333333334,6.983661061456457e-05,0.07333333333333333,1.8147114990877747e-38,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxu_204202,2,16,0,0,7,0,9,7,0,0,0,0,7,0,0.0,0.0,1.0,0.07190476190476192,1.686206531546576e-11,0.016666666666666666,1.2306502431052523e-37,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxu_204202,3,33,0,0,19,0,14,19,3,1,4,4,15,2,0.21052631578947367,0.10526315789473684,0.9473684210526315,0.21263157894736842,0.263157882188527,0.07666666666666666,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxu_204202,4,62,0,0,17,1,44,18,4,1,5,5,13,0,0.2777777777777778,0.0,1.0,0.2987037037037037,0.2777777777777778,0.045,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxu_204202,5,76,0,0,30,0,46,30,6,0,7,7,23,2,0.23333333333333334,0.06666666666666667,0.9333333333333333,0.23355555555555557,0.23346584725702504,0.016666666666666666,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxu_204202,6,85,0,0,30,1,54,31,6,0,6,6,25,6,0.1935483870967742,0.1935483870967742,0.8064516129032258,0.2489247311827958,0.38708602157400956,0.04666666666666667,8.462408390997196e-18,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxu_204202,7,102,0,0,42,3,57,45,7,2,9,9,36,3,0.2,0.06666666666666667,0.9777777777777777,0.20199999999999999,0.22230661866906812,0.03,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxu_204202,8,105,0,0,27,4,74,31,9,1,10,10,21,3,0.3225806451612903,0.0967741935483871,1.0,0.3383870967741935,0.32257738716065404,0.06,5.273257336007986e-28,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxu_204202,9,110,0,0,31,1,78,32,9,1,12,11,20,3,0.34375,0.09375,0.9375,0.37197916666666664,0.3136827051817613,0.17333333333333334,2.2258301573730175e-22,1,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxu_204202,10,120,0,0,44,4,72,48,10,0,11,11,37,1,0.22916666666666666,0.020833333333333332,0.9791666666666666,0.22590277777777779,0.20671588182453735,0.026666666666666665,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
