path,shot,n,ntor,nr,nhar,omega,gamma_d,status,gap_region,signed_delta,fraction_below_upper2,p_rf_good,p_cnn_good,p_avg,final_label,tier,model_disagreement,near_threshold,large_score_gap,selected_final,rejection_reason,error_message
/global/cfs/cdirs/m314/nova2/data/nstxuE205052A01t022/N1/egn01w.9546E+01,nstxuE205052A01t022,1,1,201,16,3.0896882394411227,0.0,scored,tae_like,0.8599247744163876,1.0,0.02,0.0,0.01,bad,gold_bad,False,False,False,,,
/global/cfs/cdirs/m314/nova2/data/nstxuE205052A01t022/N1/egn01w.9878E+01,nstxuE205052A01t022,1,1,201,16,3.142961130357928,0.0,scored,tae_like,0.4556773306639448,1.0,0.02666666666666667,0.0,0.013333333333333334,bad,gold_bad,False,False,False,,,
/global/cfs/cdirs/m314/nova2/data/nstxuE205052A01t022/N1/egn01w.1028E+02,nstxuE205052A01t022,1,1,201,16,3.2068784170503593,0.0,scored,tae_like,0.4441552891528778,1.0,0.02,0.0,0.01,bad,gold_bad,False,False,False,,,
/global/cfs/cdirs/m314/nova2/data/nstxuE205052A01t022/N1/egn01w.1071E+02,nstxuE205052A01t022,1,1,201,16,3.273057991284176,0.0004465737355878666,scored,tae_like,0.7476373011340364,0.664597957436952,0.0033333333333333335,0.0,0.0016666666666666668,bad,gold_bad,False,False,False,,,
/global/cfs/cdirs/m314/nova2/data/nstxuE205052A01t022/N1/egn01w.1125E+02,nstxuE205052A01t022,1,1,201,16,3.3534073371593967,3.259088783438609e-06,scored,tae_like,0.8800869542437374,0.8546014603384956,0.013333333333333334,5.648098278004032e-16,0.00666666666666695,bad,gold_bad,False,False,False,,,
/global/cfs/cdirs/m314/nova2/data/nstxuE205052A01t022/N1/egn01w.1154E+02,nstxuE205052A01t022,1,1,201,16,3.397289109508568,2.435446631240236e-05,scored,tae_like,0.8650811502357963,0.8379186283426151,0.01,0.0,0.005,bad,gold_bad,False,False,False,,,
/global/cfs/cdirs/m314/nova2/data/nstxuE205052A01t022/N1/egn01w.1164E+02,nstxuE205052A01t022,1,1,201,16,3.4112360145853207,6.804790161327854e-06,scored,tae_like,0.870545354163898,0.8500134549674746,0.016666666666666666,0.0,0.008333333333333333,bad,gold_bad,False,False,False,,,
/global/cfs/cdirs/m314/nova2/data/nstxuE205052A01t022/N1/egn01w.1174E+02,nstxuE205052A01t022,1,1,201,16,3.426318912040526,2.0285172862071856e-08,scored,tae_like,0.8699935279890646,0.8532155209097916,0.02666666666666667,0.0,0.013333333333333334,bad,gold_bad,False,False,False,,,
/global/cfs/cdirs/m314/nova2/data/nstxuE205052A01t022/N1/egn01w.1185E+02,nstxuE205052A01t022,1,1,201,16,3.4422242506758307,1.2936963450039236e-05,scored,tae_like,0.8672661717597312,0.8533304032167607,0.023333333333333334,0.0,0.011666666666666667,bad,gold_bad,False,False,False,,,
/global/cfs/cdirs/m314/nova2/data/nstxuE205052A01t022/N1/egn01w.1194E+02,nstxuE205052A01t022,1,1,201,16,3.4555733758792506,3.5823878884704937e-06,scored,mixed,0.16784148389813638,0.21471872853500232,0.0033333333333333335,0.0,0.0016666666666666668,bad,gold_bad,False,False,False,,,
/global/cfs/cdirs/m314/nova2/data/nstxuE205052A01t022/N1/egn01w.1196E+02,nstxuE205052A01t022,1,1,201,16,3.458773511870135,2.658676364590482e-05,scored,tae_like,0.8464659632943561,0.8299974446718105,0.013333333333333334,4.79706277021852e-24,0.006666666666666667,bad,gold_bad,False,False,False,,,
/global/cfs/cdirs/m314/nova2/data/nstxuE205052A01t022/N1/egn01w.1209E+02,nstxuE205052A01t022,1,1,201,16,3.4765267406499176,6.334609622425747e-05,scored,tae_like,0.8569219035270621,0.8479042009341415,0.016666666666666666,1.2459466691647042e-35,0.008333333333333333,bad,gold_bad,False,False,False,,,
