shot,nstx_120113
n_total_files,541
n_failed_load,0
n_nan_or_invalid,0
n_tae_like,133
n_mixed,41
n_eae_like,367
n_sent_to_classifiers,174
n_gold_good,43
n_silver_good,1
n_good_before_clustering,47
n_final_good,47
n_final_bad,127
n_flagged,8
fraction_good,0.27011494252873564
fraction_flagged,0.04597701149425287
rf_cnn_agreement_fraction,0.9770114942528736
mean_p_rf_good,0.28601532567049814
mean_p_cnn_good,0.2583960873055188
median_p_rf_good,0.03333333333333333
median_p_cnn_good,4.1352537377125965e-33
mode_clusters_removed,0
fraction_tae_threshold,0.5
fraction_eae_threshold,0.4
signed_delta_eae_threshold,-0.1
include_mixed_in_tae_like,True
gold_good_rf_threshold,0.7
gold_good_cnn_threshold,0.6
silver_good_rf_threshold,0.5
silver_good_cnn_threshold,0.5
cnn_rescue_rf_threshold,0.4
cnn_rescue_cnn_threshold,0.9
gold_bad_threshold,0.2
silver_bad_threshold,0.4
rf_only_good_threshold,0.5
rf_score_weight,0.5
cnn_score_weight,0.5
