shot,nstxuE205052A01t022
n_total_files,1486
n_failed_load,0
n_nan_or_invalid,0
n_tae_like,267
n_mixed,28
n_eae_like,1191
n_sent_to_classifiers,295
n_gold_good,52
n_silver_good,11
n_good_before_clustering,71
n_final_good,68
n_final_bad,224
n_flagged,33
fraction_good,0.2305084745762712
fraction_flagged,0.11186440677966102
rf_cnn_agreement_fraction,0.9050847457627119
mean_p_rf_good,0.246090395480226
mean_p_cnn_good,0.2893898574204582
median_p_rf_good,0.05333333333333334
median_p_cnn_good,4.7936806434056844e-12
mode_clusters_removed,3
fraction_tae_threshold,0.5
fraction_eae_threshold,0.4
signed_delta_eae_threshold,-0.1
include_mixed_in_tae_like,True
gold_good_rf_threshold,0.7
gold_good_cnn_threshold,0.6
silver_good_rf_threshold,0.5
silver_good_cnn_threshold,0.5
cnn_rescue_rf_threshold,0.4
cnn_rescue_cnn_threshold,0.9
gold_bad_threshold,0.2
silver_bad_threshold,0.4
rf_only_good_threshold,0.5
rf_score_weight,0.5
cnn_score_weight,0.5
